parent_channel,total_messages,unique_authors,messages_per_author,top1_share_pct,top3_share_pct
28slotcommie,138,8,17.25,81.2,92.0
achievements,10479,251,41.75,4.4,12.2
advice,5116,165,31.01,8.5,15.7
announcements,246,37,6.65,20.7,38.2
barrows-sisters,1583,46,34.41,15.2,37.6
bossing-text-channel,1775,66,26.89,11.1,28.9
bot-commands,277,55,5.04,18.8,39.0
clan-charter,3,1,3.0,100.0,100.0
content-recs,3338,145,23.02,14.6,31.0
cooking-guild,3343,122,27.4,8.9,22.5
cox-resources,19,1,19.0,100.0,100.0
cursed-liberal-content,17145,197,87.03,6.8,18.2
dank-tank,1883,109,17.28,10.5,28.9
edgeville,45109,285,158.28,4.8,10.7
events,10489,219,47.89,11.6,25.8
fashionscape,2513,157,16.01,11.0,27.5
general,63944,699,91.48,6.8,16.9
general-leftist-stuff,23157,242,95.69,6.9,15.6
good-news,217,42,5.17,11.1,27.6
guide-of-blood,47,2,23.5,97.9,100.0
head-pats,3683,173,21.29,9.2,20.3
irl-fashionscape,2276,136,16.74,4.9,13.5
join-portal,219,70,3.13,23.7,42.5
leftscape-library,1362,80,17.02,13.2,32.5
looking-for-group,8703,196,44.4,11.3,27.4
media,783,51,15.35,19.3,44.2
meme-queens,58885,273,215.7,19.5,36.5
mod-guidelines,11,1,11.0,100.0,100.0
mod-reports,12,7,1.71,41.7,66.7
music-capes-only,10689,177,60.39,13.2,33.2
office-hours,8469,72,117.62,13.3,35.3
other-games,7703,163,47.26,15.3,23.9
our-hobbies,2382,110,21.65,8.9,23.6
pking,3154,91,34.66,9.9,26.8
pking-multi,45,3,15.0,95.6,100.0
pokemon-go-to-the-polls,730,48,15.21,14.5,30.4
qpw-repository,255,51,5.0,14.9,31.0
raids-records,384,28,13.71,21.9,51.0
seasonal-modes,8923,138,64.66,13.3,25.2
skill-of-the-week,13,3,4.33,84.6,100.0
spec-comparisons,160,9,17.78,68.8,93.8
sports-isolation-zone,6232,83,75.08,18.3,40.3
suggestions,3760,154,24.42,10.4,19.7
summeringo,60,19,3.16,15.0,31.7
summeringo-proof,453,28,16.18,11.9,32.5
text-for-vc,19407,183,106.05,15.2,33.0
town-hall,5425,176,30.82,12.9,25.8
trade-chat,47,19,2.47,21.3,38.3
usernames,4927,225,21.9,10.1,17.9
vc_greatest_hits,236,44,5.36,13.1,34.3
welcome,5,1,5.0,100.0,100.0
