parent_channel,mean_gap_hours,median_gap_hours,gap_count
28slotcommie,335.35,2.15,137
achievements,4.83,0.22,10478
advice,9.9,0.01,5115
announcements,116.5,0.13,245
barrows-sisters,15.38,0.02,1582
bossing-text-channel,11.1,0.01,1774
bot-commands,8.47,0.0,276
clan-charter,0.01,0.01,2
content-recs,15.1,0.02,3337
cooking-guild,13.72,0.12,3342
cox-resources,173.73,0.02,18
cursed-liberal-content,2.94,0.04,17144
dank-tank,25.73,0.08,1882
edgeville,1.13,0.02,45108
events,4.85,0.04,10488
fashionscape,19.98,0.06,2512
general,0.8,0.02,63943
general-leftist-stuff,2.2,0.02,23156
good-news,13.14,0.63,216
guide-of-blood,150.32,0.0,46
head-pats,13.3,0.49,3682
irl-fashionscape,19.39,0.24,2275
join-portal,14.71,1.52,218
leftscape-library,31.04,0.05,1361
looking-for-group,5.11,0.03,8702
media,6.46,0.07,782
meme-queens,0.81,0.1,58884
mod-guidelines,0.01,0.01,10
mod-reports,3160.03,1766.19,11
music-capes-only,4.69,0.06,10688
office-hours,5.45,0.03,8468
other-games,6.28,0.03,7702
our-hobbies,14.53,0.05,2381
pking,11.95,0.02,3153
pking-multi,291.98,0.04,44
pokemon-go-to-the-polls,2.42,0.04,729
qpw-repository,164.86,0.35,254
raids-records,108.16,0.05,383
seasonal-modes,5.58,0.01,8922
skill-of-the-week,1930.41,0.93,12
spec-comparisons,0.5,0.01,159
sports-isolation-zone,6.24,0.05,6231
suggestions,13.48,0.03,3759
summeringo,2.8,0.05,59
summeringo-proof,0.54,0.1,452
text-for-vc,2.15,0.04,19406
town-hall,9.14,0.02,5424
trade-chat,82.52,1.27,46
usernames,9.74,2.01,4926
vc_greatest_hits,187.13,1.26,235
welcome,0.0,0.0,4
